variant,model,n_features,roc_auc_realistic,pr_auc_realistic,f1_realistic,recall_realistic,precision_realistic,delta_roc_auc_realistic_vs_all,delta_pr_auc_realistic_vs_all,delta_f1_realistic_vs_all,delta_recall_realistic_vs_all,delta_precision_realistic_vs_all
all_features,hgb_balanced,17,0.8804700446652877,0.8253215576933755,0.49888456095498007,0.3675212641105371,0.7763900011927685,0.0,0.0,0.0,0.0,0.0
zeek_only_masked_view,hgb_balanced,10,0.8781246301069147,0.8284538392617358,0.5054953592585912,0.3673639762374321,0.8100976503441775,-0.0023454145583730046,0.003132281568360318,0.006610798303611165,-0.00015728787310498316,0.033707649151409
ebpf_only_masked_view,hgb_balanced,7,0.5861034745088356,0.5540127824378835,0.0,0.0,0.0,-0.29436657015645207,-0.2713087752554919,-0.49888456095498007,-0.3675212641105371,-0.7763900011927685
