ts,cpu_percent,rss_bytes
1773344361.6523361,0.0,63258624
1773344362.653818,1.0,63258624
1773344363.655554,1.0,63258624
1773344364.6572213,0.0,63258624
1773344365.6590176,1.0,63258624
1773344366.6607273,0.0,63258624
1773344367.6624188,1.0,63258624
1773344368.66449,0.0,63258624
1773344369.6666214,0.0,63258624
1773344370.6683152,0.0,63258624
1773344371.670043,0.0,63258624
1773344372.6717494,1.0,63258624
1773344373.673482,1.0,63258624
1773344374.674776,2.0,63258624
1773344375.6762748,2.0,63258624
1773344376.677696,1.0,63258624
1773344377.6792939,0.0,63258624
1773344378.6810334,0.0,63258624
1773344379.682673,0.0,63258624
1773344380.6843638,2.0,63258624
1773344381.68606,0.0,63258624
1773344382.687657,2.0,63258624
1773344383.6897871,1.0,63258624
1773344384.6919339,0.0,63258624
1773344385.6936615,1.0,63258624
1773344386.6957943,2.0,63258624
1773344387.697934,0.0,63258624
1773344388.6994867,1.0,63258624
1773344389.7007513,1.0,63258624
1773344390.702427,1.0,63258624
1773344391.7045069,1.0,63258624
1773344392.7060308,1.0,63258624
1773344393.70816,0.0,63258624
1773344394.710074,0.0,63258624
1773344395.7121966,2.0,63258624
1773344396.713983,1.0,63258624
1773344397.7155664,0.0,63258624
1773344398.7169974,1.0,63258624
1773344399.719129,1.0,63258624
1773344400.7212462,0.0,63258624
1773344401.7224123,0.0,63258624
1773344402.724098,0.0,63258624
1773344403.72626,1.0,63258624
1773344404.7283618,0.0,63258624
1773344405.730456,0.0,63258624
1773344406.7321465,0.0,63258624
1773344407.7342262,0.0,63258624
1773344408.7359128,0.0,63258624
1773344409.7373335,0.0,63258624
1773344410.7382078,0.0,63258624
1773344411.7400274,1.0,63258624
1773344412.7415867,0.0,63258624
1773344413.7436624,0.0,63258624
1773344414.7457583,0.0,63258624
1773344415.7479353,0.0,63258624
1773344416.7500794,0.0,63258624
1773344417.7522144,0.0,63258624
1773344418.7543185,0.0,63258624
1773344419.7564592,0.0,63258624
1773344420.758583,0.0,63258624
