ts,cpu_percent,rss_bytes
1772626369.0561998,0.0,51929088
1772626370.057547,1.0,51929088
1772626371.059058,0.0,51929088
1772626372.0608964,1.0,51929088
1772626373.0626113,0.0,51929088
1772626374.0647428,0.0,51929088
1772626375.0655468,3.0,51929088
1772626376.0677264,0.0,51929088
1772626377.0698593,0.0,51929088
1772626378.071694,0.0,51929088
1772626379.073802,1.0,51929088
1772626380.0759132,1.0,51929088
1772626381.0780284,0.0,51929088
1772626382.079618,0.0,51929088
1772626383.081119,0.0,51929088
1772626384.0832343,0.0,51929088
1772626385.0853505,0.0,51929088
1772626386.0874655,0.0,51929088
1772626387.0895832,0.0,51929088
1772626388.0916626,0.0,51929088
1772626389.0937994,1.0,51929088
1772626390.0954523,0.0,51929088
1772626391.097147,0.0,51929088
1772626392.0988789,0.0,51929088
1772626393.1005607,0.0,51929088
1772626394.1021867,0.0,51929088
1772626395.1032093,0.0,51929088
1772626396.1047022,0.0,51929088
1772626397.1067955,1.0,51929088
1772626398.108904,0.0,51929088
1772626399.1105964,0.0,51929088
1772626400.1127102,0.0,51929088
1772626401.1148489,0.0,51929088
1772626402.1169667,0.0,51929088
1772626403.118704,0.0,51929088
1772626404.1208377,0.0,51929088
1772626405.123009,0.0,51929088
1772626406.1251285,0.0,51929088
1772626407.1268709,1.0,51929088
1772626408.1286955,0.0,51929088
1772626409.1308026,0.0,51929088
1772626410.1329343,0.0,51929088
1772626411.1351488,0.0,51929088
1772626412.137262,0.0,51929088
1772626413.1393487,0.0,51929088
1772626414.141476,0.0,51929088
1772626415.1435575,0.0,51929088
1772626416.145675,0.0,51929088
1772626417.1478226,0.0,51929088
1772626418.149947,0.0,51929088
1772626419.15204,1.0,51929088
1772626420.1541388,0.0,51929088
1772626421.1562977,0.0,51929088
1772626422.158419,0.0,51929088
1772626423.1601481,0.0,51929088
1772626424.1622548,0.0,51929088
1772626425.1640003,0.0,52191232
1772626426.165848,0.0,52191232
1772626427.1673114,0.0,52191232
1772626428.1691477,0.0,52191232
