ts,cpu_percent,rss_bytes
1773344603.5500064,0.0,51838976
1773344604.550196,1.0,51838976
1773344605.5517929,2.0,51838976
1773344606.553265,1.0,51838976
1773344607.5548167,1.0,51838976
1773344608.5570002,0.0,51838976
1773344609.5588288,0.0,51838976
1773344610.560924,0.0,51838976
1773344611.5624778,0.0,51838976
1773344612.5640326,0.0,51838976
1773344613.5657425,0.0,51838976
1773344614.5664208,2.0,52092928
1773344615.568587,0.0,52092928
1773344616.570453,0.0,52092928
1773344617.5721657,0.0,52092928
1773344618.5742648,1.0,52092928
1773344619.5757504,0.0,52092928
1773344620.577659,1.0,52092928
1773344621.5792363,0.0,52092928
1773344622.5810783,0.0,52092928
1773344623.5832078,0.0,52092928
1773344624.5853393,0.0,52092928
1773344625.5875075,0.0,52092928
1773344626.58965,0.0,52092928
1773344627.5918403,0.0,52092928
1773344628.5939486,0.0,52092928
1773344629.5957959,0.0,52092928
1773344630.597603,1.0,52092928
1773344631.5997136,0.0,52092928
1773344632.6018424,0.0,52092928
1773344633.6040022,0.0,52092928
1773344634.6061566,0.0,52092928
1773344635.6083066,0.0,52092928
1773344636.6099977,0.0,52092928
1773344637.612225,0.0,52092928
1773344638.6138108,1.0,52092928
1773344639.6160266,1.0,52092928
1773344640.6181872,0.0,52092928
1773344641.6203222,0.0,52092928
1773344642.6224627,0.0,52092928
1773344643.624566,0.0,52092928
1773344644.6266973,0.0,52092928
1773344645.6287985,0.0,52092928
1773344646.6309094,1.0,52092928
1773344647.6330147,0.0,52092928
1773344648.6351678,0.0,52092928
1773344649.637297,0.0,52092928
1773344650.639454,0.0,52092928
1773344651.64134,0.0,52092928
1773344652.642433,0.0,52092928
1773344653.6442957,0.0,52092928
1773344654.6457717,1.0,52092928
1773344655.647621,0.0,52092928
1773344656.6493237,0.0,52092928
1773344657.6514611,1.0,52350976
1773344658.652989,1.0,52350976
1773344659.6551204,0.0,52350976
1773344660.657265,0.0,52350976
1773344661.6590016,0.0,52350976
1773344662.6607013,0.0,52350976
