variant,model,n_features,roc_auc_realistic,pr_auc_realistic,f1_realistic,recall_realistic,precision_realistic,delta_roc_auc_realistic_vs_all,delta_pr_auc_realistic_vs_all,delta_f1_realistic_vs_all,delta_recall_realistic_vs_all,delta_precision_realistic_vs_all
all_features,hgb_balanced,17,0.8004803384224983,0.7512446707792653,0.49886685862555974,0.3675373962000863,0.7762322938936824,0.0,0.0,0.0,0.0,0.0
zeek_only_masked_view,hgb_balanced,10,0.694878238492715,0.6852221571170237,0.5013514036358009,0.3658193286630934,0.7964141782199081,-0.10560209992978331,-0.06602251366224154,0.002484545010241146,-0.0017180675369928844,0.020181884326225696
ebpf_only_masked_view,hgb_balanced,7,0.6316903110054126,0.5916918404551457,0.0,0.0,0.0,-0.1687900274170857,-0.1595528303241196,-0.49886685862555974,-0.3675373962000863,-0.7762322938936824
