dataset,model,artifact_load_seconds,latency_mean_seconds,latency_std_seconds,infer_ms_per_1k,infer_rows_benchmarked,latency_repeats,model_size_mb,test_auc,test_ap
baseline,hgb_balanced,0.6757848289562389,0.043786638299934566,0.003718943661013783,4.378663829993457,10000,7,1.0616044998168945,0.9208717940390869,0.8638277993843357
ebpf,hgb_balanced,0.8927673869766295,0.044494990567078015,0.0029986812220142503,4.449499056707801,10000,7,1.0661067962646484,0.8004803384224983,0.7512446707792653
