feature_set,model,threshold_mode,target_val_recall,validation_threshold,val_precision,val_recall,val_fpr,test_precision,test_recall,test_fpr,test_fp,test_tp,test_fn,test_tn
baseline,hgb_balanced,matched_recall,0.8712977921378567,0.0005442577858526561,0.11905813097866078,0.8712977921378567,0.033148100463220614,0.8327537581117713,0.3679689295955282,0.06143756663783218,18324,91239,156714,279930
ebpf,hgb_balanced,matched_recall,0.8712977921378567,4.756401296184135e-05,0.07272890726839575,0.8712977921378567,0.057117621488120454,0.7762322938936824,0.3675373962000863,0.088082640970448,26271,91132,156821,271983
