split_name,role,attack,support_n,baseline_detected,ebpf_detected,detection_rate_baseline,baseline_low,baseline_high,detection_rate_ebpf,ebpf_low,ebpf_high,delta,baseline_detected_ebpf_missed,baseline_missed_ebpf_detected,discordant_total,ebpf_minus_baseline_discordant_delta,p_value_exact,p_value_holm,source
split4_realistic,headline,DDoS,86636,86624,86635,0.9998614894501131,0.9997578890262799,0.9999207622791029,0.9999884574541761,0.9999346135472766,0.9999979625067408,0.00012696800406297726,0,11,11,11,0.0009765625,0.001953125,split4_realistic
split4_realistic,headline,Bot,2208,0,0,0.0,0.0,0.0017368332343509591,0.0,0.0,0.0017368332343509591,0.0,0,0,0,0,1.0,1.0,split4_realistic
split4_realistic,headline,PortScan,159109,4615,4497,0.029005273114657247,0.028191952978121174,0.029841336523510092,0.028263643162863193,0.02746063933793144,0.029089426071748224,-0.0007416299517940539,140,22,162,-118,3.288579594489766e-22,9.865738783469299e-22,split4_realistic
split2_support,support_only,WebAttack,288,277,283,0.9618055555555556,0.9329118668319563,0.9785414694984369,0.9826388888888888,0.9600092723721094,0.992562259582211,0.02083333333333326,1,7,8,6,0.0703125,0.4921875,split2_support
split2_support,support_only,PortScan,769,763,767,0.9921976592977894,0.9830827365387049,0.9964194020625299,0.9973992197659298,0.9905670510473356,0.9992864972088661,0.005201560468140465,0,4,4,4,0.125,0.75,split2_support
split2_support,support_only,DoS,704,701,702,0.9957386363636364,0.9875465821692586,0.9985497422061382,0.9971590909090909,0.9897012247277088,0.9992205905484772,0.0014204545454545858,0,1,1,1,1.0,1.0,split2_support
split2_support,support_only,BruteForce,762,761,761,0.9986876640419947,0.9926040041563496,0.9997683088650374,0.9986876640419947,0.9926040041563496,0.9997683088650374,0.0,0,0,0,0,1.0,1.0,split2_support
split2_support,support_only,DDoS,745,745,745,1.0,0.9948699431228182,1.0,1.0,0.9948699431228182,1.0,0.0,0,0,0,0,1.0,1.0,split2_support
split2_support,support_only,Bot,318,318,318,1.0,0.9880636934442285,1.0,1.0,0.9880636934442285,1.0,0.0,0,0,0,0,1.0,1.0,split2_support
split2_support,support_only,Infiltration,5,4,4,0.8,0.3755282641185388,0.9637768390302125,0.8,0.3755282641185388,0.9637768390302125,0.0,0,0,0,0,1.0,1.0,split2_support
