split,role,model,feature_set,threshold_mode,target_recall,rows,attacks,test_f1,test_roc_auc,test_pr_auc,test_precision,test_recall,test_fpr
split2_balanced_quota,model_selection,hgb_balanced,baseline,matched_recall,0.8712977921378567,7220,3591,0.9243822566239952,0.9972031744957446,0.9966944314502084,0.9929645027182603,0.8646616541353384,0.00606227610912097
split2_balanced_quota,model_selection,hgb_balanced,ebpf,matched_recall,0.8712977921378567,7220,3591,0.9283906505880601,0.9983491842493163,0.9979262906396114,0.9974408189379399,0.8682818156502367,0.002204464039680353
split4_realistic,headline_generalization,hgb_balanced,baseline,matched_recall,0.8712977921378567,546207,247953,0.5104051287215118,0.9208717940390869,0.8638277993843357,0.8327537581117713,0.3679689295955282,0.06143756663783218
split4_realistic,headline_generalization,hgb_balanced,ebpf,matched_recall,0.8712977921378567,546207,247953,0.49886685862555974,0.8004803384224983,0.7512446707792653,0.7762322938936824,0.3675373962000863,0.088082640970448
split4_balanced,balanced_fairness,hgb_balanced,baseline,matched_recall,0.8712977921378567,16,8,0.6666666666666666,0.875,0.9260416666666667,1.0,0.5,0.0
split4_balanced,balanced_fairness,hgb_balanced,ebpf,matched_recall,0.8712977921378567,16,8,0.6153846153846154,0.859375,0.8784722222222222,0.8,0.5,0.125
split3_train_resampled,resampled_training,hgb_balanced,baseline,matched_recall,0.8712977921378567,248613,349,0.02930556721807037,0.9942706509301449,0.48309800326556973,0.014870680472112149,1.0,0.09312667160764347
split3_train_resampled,resampled_training,hgb_balanced,ebpf,matched_recall,0.8712977921378567,248613,349,0.06849852796859666,0.998930152641836,0.8382928536777006,0.0354638756223961,1.0,0.03823349337801695
split1_group_strat,leakage_diagnostic,hgb_balanced,baseline,matched_recall,0.8712977921378567,248613,349,0.02847004119590488,0.9844787591857341,0.05365191231791103,0.014440582588546838,1.0,0.0959422227950891
split1_group_strat,leakage_diagnostic,hgb_balanced,ebpf,matched_recall,0.8712977921378567,248613,349,0.07915627126332501,0.9992582994883809,0.6409012534297074,0.04120911559806353,1.0,0.03270711822898205
