dataset,model,artifact_load_seconds,latency_mean_seconds,latency_std_seconds,infer_ms_per_1k,infer_rows_benchmarked,latency_repeats,model_size_mb,test_auc,test_ap
baseline,hgb_balanced,0.7884240399980627,0.04646724257119266,0.008363179252445513,4.646724257119266,10000,7,1.0616044998168945,0.920167789289307,0.8575172215506839
ebpf,hgb_balanced,0.6706814079989272,0.045567601285126456,0.005168868626263488,4.556760128512646,10000,7,1.0661230087280273,0.7115036219893844,0.7154877259841218
